id,uid,candidate_name,key,matched_name
10183,06823,Malik Muhammad Ahmad Khan,uuid:3f2374f1-2a23-4dc2-b0af-44d41ac627e8,Malik Ahmad
10184,06832,Sardar Muhammad Hussain Doger,uuid:e9720f4b-7901-436c-b915-64dbeb64ec06,Sardar Hussain
10185,06833,Shahid Masood,uuid:bcd9241d-aeb7-4ac2-be69-1f0795c8a7a0,Shahid Masood Khan
10186,06826,Muhammad Javed,NA,NA
10187,NA,Munir Ahmad,uuid:5f2dc6cf-8449-44d3-b82f-6afb89597d42,Muneer
10188,06830,Sabir Ali Babar,uuid:6d42aa5b-4747-471c-a97d-06078b8b80cb,Sabar
10189,06831,Sardar Mashtaq Ahmad,uuid:62056db9-f849-4040-941a-e2bb2036fcef,Sardar Mushtaq
10190,06825,Muhammad Abid Jamal,uuid:c4958901-3098-44e4-a545-f08413bcaf1e,Abid Jamal
10191,06821,Jafar Ali,NA,NA
10192,06829,Pervaiz Masih,NA,NA
10194,06827,Muhammad Yaseen,uuid:b3ca1a92-d226-4b7c-9e7a-f2c3073f7aec,Yaseen
10195,06822,Javed Hussain Baitu,uuid:f3a48eef-8e0d-47be-8a29-e680bbd03ea8,Malik Javed Hussain
