id,uid,candidate_name,key,matched_name
2830,01740,Syed Rafiullah,NA,NA
2831,01727,Hafiz Aurangzaib,NA,NA
2833,01741,Syed Shah Muhammad Shah,NA,NA
2834,01726,Gul Faraz Khan,NA,NA
2835,01731,MUHAMMAD ISLAM,NA,NA
2836,01738,Shahi Syed,NA,NA
2837,01737,Rao Muhammad Zubair,NA,NA
2838,01730,Khursheed Ali,NA,NA
2839,01735,Nawaz Ali Jatt,NA,NA
2840,01739,Syed Imdad Hussain Shah,NA,NA
2841,01732,Muhammad Pervez,NA,NA
2842,01736,NAZIR AHMED,NA,NA
2843,01728,Ikramullah,NA,NA
2844,01725,Ghulam Farooq,NA,NA
2845,01734,Muhammad Wali Shah,NA,NA
2846,01729,Inayatullah,NA,NA
2847,01742,Zain Ul Abidin,NA,NA
2848,01733,Muhammad Rafi,NA,NA
2849,01724,Aitbar Khan,NA,NA
