id,uid,candidate_name,key,matched_name
5728,08656,MUHAMMAD RIZWAN,NA,NA
5732,08659,SYED ATTA UL HASSAN,NA,NA
5736,08650,MUHAMMAD HAFEEZ,NA,NA
5748,08649,MUHAMMAD ARIF,NA,NA
5752,08658,SHAUKAT ALI,NA,NA
5756,08657,SHAHID MAHMOOD BUTT,NA,NA
5760,08647,MOHSIN KRAMAT ULLAH KHAN,NA,NA
5764,08648,MUHAMMAD AKHTAR,NA,NA
5767,08652,MUHAMMAD MASHHOOD SHAHID BUTT,NA,NA
5770,08662,WAJAHAT ALI,NA,NA
5774,08660,SYED NAEEM SHAH,NA,NA
5776,08646,IMTIAZ AHMAD,NA,NA
5781,08655,MUHAMMAD RIAZ,NA,NA
5783,08654,MUHAMMAD NAWAZ,NA,NA
5784,08651,MUHAMMAD IQBAL GILL,NA,NA
5785,08661,TARIQ RAFIQUE SANDHU,NA,NA
5786,08653,MUHAMMAD MUSHTAQ AHMAD,NA,NA
