id,uid,candidate_name,key,matched_name
10263,06919,Rana Muhammed Aslam Khan,uuid:aa07c790-bed0-423d-b7ce-dd2490e93857,M.Aslam
10264,06920,Rana Naeem Riaz Ahmed,uuid:a6e77ea6-dc7c-4efd-ad9f-275dab14c352,Rana Naeem
10266,06914,Rana Javed Iqbal Khan,uuid:8ecfb4c0-9078-44e5-936b-335b72d4e27c,Javaid Iqbal
10267,06912,Muhammad Asif,NA,NA
10268,06909,Hamayun Majeed,uuid:4b4e16b7-7211-4d8c-9a9a-a6bdc7df7dbb,Hamayon
10269,06922,Rana Sarfraz Ahmed Khan,uuid:7226b05c-598e-4a27-99e3-6f120fe257bb,Sarfraz Ahmed
10271,06910,Hashmat Ali Khan,uuid:480be057-30c2-449d-8a18-88c374fb4c9f,Hashmat
10272,06913,Muhammed Arslan,uuid:6a3aa3e2-c6dc-48a9-8aa9-94ceaff3b8ba,M.Arslan
10273,06907,Fiyaz Ahmed,uuid:fbd81009-aa55-46b8-9d35-547b891585da,Fiyaz Ahmad
10274,06915,Rana Majeeb Iqbal,uuid:22c4e80a-a995-4f3e-9fef-5595df542ba4,Rana Mujeed
10277,06911,Iftikhar Ahmad,uuid:86b85dcb-18c7-42a5-8d47-51e1a2f09ecb,Iftekhar
10280,06924,Sardar Aleem Ahmed,NA,NA
