id,uid,candidate_name,key,matched_name
521,02664,Munir Khan Orakzai,NA,NA
522,02669,Said Jamal,NA,NA
524,02658,Malak Rashid Ahmed Khan,NA,NA
525,02641,Arif Hussain,NA,NA
526,02643,Atta Ullah Jan Bangash,NA,NA
527,02652,Hikmat Khan,NA,NA
528,02661,Muhammad Nasir Khan,NA,NA
530,02633,Abdul Qadir,NA,NA
531,02646,Farooq Ahmed,NA,NA
532,02667,Noor Akbar,NA,NA
533,02656,Khyal Marjan,NA,NA
535,02640,Aman Ullah Jaan,NA,NA
536,02663,Muhammad Tofail Shaheen,NA,NA
537,02662,Muhammad Shehzad,NA,NA
538,02653,Hukam Sayed,NA,NA
539,02636,Abdur Rashid Khan,NA,NA
540,02657,Malak Noor Akbar,NA,NA
542,02642,Asmat Ullah,NA,NA
543,02659,Muhammad Kabir,NA,NA
547,02651,Hazrat Nabi,NA,NA
548,02654,Irfan Ullah,NA,NA
550,02648,Gul Faraz,NA,NA
551,02660,Muhammad Luqman,NA,NA
552,02650,Habib Malik,NA,NA
553,02634,Abdul wahid,NA,NA
554,02635,Abdul Wali Khan,uuid:432c27ca-a391-42aa-bc45-59ca45416a43,Abdul Wali
556,02637,Adnan Sitar,NA,NA
