id,uid,candidate_name,key,matched_name
3640,NA,Yahya Khan Nasar,uuid:f72e5757-7cf0-4644-974f-0ad970f9c9ef,Yahaya Khan
3644,04233,Haider Khan Nasar,uuid:16879f89-716f-4159-8ac4-68f6673a5f13,Sardar Haoder Khan Nasar
3648,04237,Malak Muhammad Hanif,uuid:1da614f4-55c1-454c-b7e4-10663ec937da,Malik Muhammad Hanif
3652,04246,Muhammad Saleem,NA,NA
3668,04249,Muhammad Zahid,uuid:cf30743c-279c-4aed-aa74-860485145878,M Zahid
3671,04234,Jahanzaib Luni,NA,NA
3679,04241,Muhammad Iqbal Tareen,NA,NA
3682,04247,Muhammad Shah Khan,NA,NA
3683,04250,Nisar Ahmed,NA,NA
3695,04240,Muhammad Gul,NA,NA
