id,uid,candidate_name,key,matched_name
9990,06634,RAMZAN SIDDIQUE,NA,NA
9992,06632,MUHAMMAD KASHIF ALI,NA,NA
9994,06635,SYED IMRAN ALEEM SHAH,NA,NA
9999,06637,YOUHANA SADIQ,NA,NA
10000,06633,QASIM MEHMOOD BUTT,NA,NA
10001,06631,MUHAMMAD ISMAEEL,NA,NA
10002,06630,MUHAMMAD IDREES,NA,NA
10003,06636,WAHID AHMAD,NA,NA
10004,06621,GHULAM MURTAZA,uuid:f44b96f3-655b-4afb-85c7-e6148b339951,Major Ghulam Mustafa
10005,06629,MUHAMMAD AZEEM,NA,NA
10007,06624,MIAN ABDUL RAZZAQ,uuid:4338b7ae-052f-4a7e-b45d-311ceeebe119,Mian Abdul Razak
10009,06628,MUHAMMAD AMJAD KHAN,NA,NA
