id,uid,candidate_name,key,matched_name
10228,06874,MAHMOOD ANWAR,NA,NA
10229,06884,RANA MUMTAZ ALI KHAN,uuid:0363cd6b-8bfa-4a41-a4b2-16221706af47,Mumtaz
10231,06872,IJAZ AHMAD,uuid:6531af79-e19d-4c9e-89f2-af22b529e576,Ahmad
10233,06876,MUHAMMAD AHSAN,uuid:8b36a44f-edb3-4229-8e16-14d515c17dda,M.Ahsan
10234,06878,MUHAMMAD FAISAL,uuid:e8903a5e-2a53-45f8-a5ce-76688abcfa4e,M.Faisal
10235,06879,MUHAMMAD IBRAHIM KHAN,uuid:cd8e9b67-43b5-4372-a684-0ea63ab16e72,M.Ibrahim
10236,06880,MUHAMMAD NASIR MEO,uuid:83634963-2134-4f3e-91a6-69be34698a7d,Nasir
10237,06886,RIAZ ALI,NA,NA
10238,06866,ALI MUQADUS,uuid:54b19a07-c23b-4658-ac47-87c35ac4bf5f,Ali Muqadas
10239,06885,RANA TALIB HUSSAIN,uuid:f6b77f25-24c7-40d4-bfeb-64d4858e1449,Rana Talab Hussain
10240,06870,FIAZ AHMAD,uuid:d46578e0-a761-4c68-a51d-e361a0f5e61d,Faiz
10242,06865,AHMAD MAHMOOD,uuid:7771b91e-b0b0-4ba6-a06e-bd106c2454d9,Ahmad Mehmood
10243,06877,MUHAMMAD AWAIS,uuid:0c6d90bc-51a8-4f7d-a5e3-eb20dbb7f0b8,M.Awais
10244,06882,MUHAMMAD TARIQ,uuid:ba0dfda3-86e7-4bb0-b27b-e0e1675dca6d,Rana Muhammad Tariq
10247,06883,RANA MUHAMMAD ARSHAD KHAN,NA,NA
10248,06881,MUHAMMAD SHAHID HUSSAIN,uuid:4077f08f-7b90-4d3d-838e-b924938a9804,M.Shahid
