id,uid,candidate_name,key,matched_name
2192,01056,Raza Rabani Khar,NA,NA
2193,01048,Fiaz Hussain,NA,NA
2194,01051,Malik Muhammad Rafeeq Khar,NA,NA
2195,01045,Allah Bachaya,NA,NA
2196,01059,Tariq Ahmad Gormani,NA,NA
2197,01060,Zulfiqar Ali Dasti,NA,NA
2198,01054,Muhammad Arif Khan Baloch,NA,NA
2199,01049,Husnain Raza,NA,NA
2200,01050,Imtiaz Hussain,NA,NA
2201,01057,Sadam Hussain,NA,NA
2202,01053,Muhammad Ali Raza Khar,NA,NA
2203,01047,Arshad Iqbal,NA,NA
2204,01046,Amjad Noor Muhammad Khan,NA,NA
2205,01052,Muhamamd Saud,NA,NA
2206,01055,Muhammad Zeeshan Gurmani,NA,NA
2207,01058,Sajid Mehmood Ashraf,NA,NA
