id,uid,candidate_name,key,matched_name
765,02886,Anjum Aqeel Khan,uuid:756f6681-20af-4e26-af5a-cb0a9b6e158f,Anjum Aqeel
766,02894,Hafeez ur Rehman,NA,NA
767,02900,Mian Muhammad Aslam,NA,NA
768,02903,Raja Imran Ashraf,NA,NA
769,02905,Sajid Mehmood,NA,NA
770,02911,Zubair Farooq Khan,NA,NA
772,02896,Ismat Raza,NA,NA
773,02895,Hamid Shamim,NA,NA
774,02909,Tayyab Nawaz Malik,NA,NA
775,02907,Shamas ur Rehman,NA,NA
777,02890,Azeem Khan,NA,NA
779,02897,Maimoonah,NA,NA
781,02892,Chan Mehboob Noon Awan,NA,NA
782,02893,Fatima Malik,NA,NA
783,02904,Saima Shiraz,NA,NA
784,02902,Nosheen Gul Kharal,uuid:4f864b7e-9e57-41e4-a397-e995e70d6b3c,Noshen Gul
785,02910,Usama,NA,NA
786,02906,Shamakh Hassan Khan,NA,NA
787,02908,Taneem ul Haq Hassani,NA,NA
789,02899,Mian Aftab Ahmed,NA,NA
790,02898,Mewa Khan,NA,NA
